Name,address,category,id,latlong,mainline,photo
"Watson Group","1330 Henry Rapid Way, Marlin, Washington 23038","Event Space","wsla7jgu","43.870899, -98.883338","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Snyder, Anderson and Ward","9595 Ashley Street St, Malaga, Washington 27271","Business","s1waz8wi","35.084467, -92.181409","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Clarke-Rodriguez","1615 Scott Shore Road, Lopez Island, Washington 58024","Factory","nxru5vg7","46.347086, -103.789","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Hart, Perez and Braun","7356 Jamie Centers Place, Latah, Washington 87825","Retail","mg2qysgi","34.918092, -103.543123","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Johnston PLC","6822 Sosa Motorway Drive, Lamona, Washington 02430","Other","crv07elx","40.854038, -83.42225","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Riddle, Meadows and Brown","2762 Daniel Tunnel Circle, Issaquah, Washington 85346-7887","Event Space","1dkng9uy","41.807883, -86.749342","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Cunningham-Rogers","4313 Russell Pine Backroad, Hoquiam, Washington 88277","Business","bbvwnb4g","36.055513, -108.534282","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Miller Group","5132 Russell Square Way, Gig Harbor, Washington 86022","Factory","vw3sm4oj","43.963916, -93.152022","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Ritter Inc","1760 Gonzalez Park Avenue, Gig Harbor, Washington 88217","Retail","0uzn75za","39.363356, -91.639669","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Thompson-Bridges","5393 Garcia Crescent Way, Fox Island, Washington 31218-9663","Other","5ytzjeds","42.610141, -87.380508","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Smith Ltd","1469 Johnson Run Lane, Four Lakes, Washington 25483","Event Space","gnw7rllo","46.731074, -100.318009","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Rodriguez-Keith","3205 Lynch Roads Alley, Forks, Washington 87132","Business","ahq1p8i9","41.145359, -102.475068","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Mack PLC","4319 Wolf Court Byway, Farmington, Washington 10203","Factory","pnj6ript","39.54972, -99.685624","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Curry, Duran and Miller","3678 Jessica Spring Boulevard, Ephrata, Washington 13402","Retail","v3oxfcx4","44.62893, -76.194238","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Bradley, Owen and Graham","359 Ellis Port Boulevard, Enumclaw, Washington 59941","Other","0rexbz4m","39.083353, -112.136641","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Medina, Jimenez and Martinez","4256 Stanley Rue Close, Elk, Washington 45031","Event Space","yg65g6wm","36.829745, -102.747702","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Miller, Hill and Weiss","9797 Lee Divide Backroad, Curtis, Washington 42106","Business","xuohw3me","37.179212, -78.195039","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Gilbert PLC","9162 Peter Rest Frontage road, Curtis, Washington 16074","Factory","3829vqwv","41.890529, -111.823594","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Holmes and Sons","3998 Anthony Field Boulevard, Creston, Washington 45447","Retail","qe6gkkkq","45.566858, -111.811397","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Lewis-Watson","7623 Maxwell Bypass Crescent, Cinebar, Washington 38347","Other","flfjtz7g","35.254196, -78.14631","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Torres-Mathis","6988 Gutierrez Points Road, Chewelah, Washington 22059-3086","Event Space","ev61jxfp","37.920865, -86.68024","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Phillips, Burns and Bates","6648 Linda Dam Court, Chewelah, Washington 13304-5300","Business","zokw1kan","34.875028, -89.918108","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Gardner, Horne and Fox","2368 Griffin Junction Way, Chehalis, Washington 80995","Factory","49n9wijv","45.003254, -87.146155","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Galvan-Reyes","4268 Daniel Haven Backroad, Centralia, Washington 62694","Retail","vdypu5o4","46.894606, -83.364935","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Ayers-Roberts","1886 Hernandez Loaf Alley, Burlington, Washington 42664","Other","j1fxqrlq","36.624709, -88.008916","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Scott, Brennan and Ruiz","9977 Holden Key St, Bremerton, Washington 98620","Event Space","5hd8kq7v","38.900955, -103.224158","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Wilcox-Henderson","4620 Joe Gardens Avenue, Bremerton, Washington 00834","Business","uqtbkohn","45.867741, -92.030162","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Dorsey and Sons","4368 William Mountains Close, Bremerton, Washington 96178","Factory","hwaojghl","39.609071, -95.379","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Scott-Medina","852 Barnes Motorway Boulevard, Blakely Island, Washington 93522","Retail","gn1uwegy","37.00026, -92.186274","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Turner, Bailey and Russell","7071 Tanya Neck Alley, Beverly, Washington 31538","Other","p0zcdlao","37.301944, -77.961728","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Hunt-Washington","570 Hood Islands Alley, Bay Center, Washington 79523","Event Space","nvjphbtj","45.774702, -77.704322","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Gates, Ward and Weber","7590 Brad Terrace Drive, Aberdeen, Washington 84511","Business","onznxmfw","39.653476, -111.114796","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Ray, Schmidt and Noble","446 Stevens Track Backroad, Yakima, WA 94481","Factory","uvm7nkzz","34.355614, -108.660149","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Reese-Murphy","3284 Edward Junctions Drive, Westport, WA 62388","Retail","yneemu9f","46.618124, -73.216314","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Callahan and Sons","9670 Rose Crescent Backroad, Waverly, WA 29804-8699","Other","w7qk3hyj","44.947788, -83.409809","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Ray-Perez","4903 Thomas Knoll Route, Washtucna, WA 02579","Event Space","6yk7wdpa","37.916842, -92.743483","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Watson PLC","3252 Quinn Dam St, Usk, WA 20759","Business","7s2kmpzu","43.307316, -96.367809","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Thomas-Waters","7495 King Parkways Road, Tonasket, WA 24401","Factory","32uoilod","35.274868, -100.0647","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Rodriguez and Sons","7061 Meagan Junctions Rd, Tacoma, WA 34187","Retail","80o4ii6q","34.709598, -110.637755","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Martinez-Cook","2937 Sarah Corners Alley, Tacoma, WA 34585","Other","kqrtzbfv","35.974138, -112.318349","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Anderson-Estrada","9862 Paula Ford Drive, Sumner, WA 34619","Event Space","p0qidv4b","34.621139, -90.74321","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Thomas-Johnson","9310 Stephanie Islands Road, Skykomish, WA 40616","Business","lauojxif","38.471566, -107.153385","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Horn PLC","2657 Cherry Fall Backroad, Shelton, WA 58527","Factory","i6gqkyjg","41.276106, -75.19876","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Cooley, Hunter and Wu","9890 Stacy Greens Avenue, Seattle, WA 66564","Retail","mzjoetsu","36.804183, -77.474077","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Yates, Gonzales and Jones","6941 Gina Turnpike Circle, Seattle, WA 86023","Other","nok99rvp","38.593946, -76.903453","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Clements-Martin","4513 Brad Roads Way, Seattle, WA 30436","Event Space","eyquhrlb","35.253072, -89.448396","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Mckee-Morales","3480 Smith Point Avenue, Seattle, WA 68060","Business","8r7xfwiu","35.390989, -101.330985","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Robertson Inc","2464 Tammy Causeway Highway, Seattle, WA 53860","Factory","8exm44h2","35.270303, -89.906792","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Powell Ltd","6842 Courtney Views Frontage road, Roslyn, WA 86871","Retail","kl2j5hn3","38.636781, -88.233186","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Wright-Miller","8952 Martinez Square Boulevard, Richland, WA 86246","Other","44te1hn0","40.986494, -106.87523","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Mann, Smith and Mason","8818 Ramos Rest Route, Redmond, WA 46880","Event Space","gqkuua8m","41.585026, -92.065548","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Adams, Mccoy and King","2924 Richard Crescent Avenue, Raymond, WA 35030","Business","d6iotgjg","40.711412, -78.35359","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Edwards-Pham","6849 Kimberly Underpass Byway, Quilcene, WA 29969","Factory","3o2454lu","35.969351, -79.585706","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"James and Sons","5814 Navarro Center Avenue, Quilcene, WA 47635","Retail","dv4fpgaw","39.715962, -109.567684","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Lopez-Wright","6971 Mcintosh Streets Route, Pullman, WA 59560","Other","mg8lz0lr","43.095703, -100.068019","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Nelson-Waller","509 Allen Drive Circle, Port Townsend, WA 20875","Event Space","d0j2fmvf","37.241145, -97.79036","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Foster, Leblanc and Ortiz","3811 Jeremy Ville Street, Port Ludlow, WA 70302","Business","ainl99si","45.586057, -74.319516","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Lambert, Harvey and Washington","8963 Williams Inlet Court, Port Angeles, WA 89304","Factory","p6fzsjhq","34.118058, -96.444333","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Smith, Flores and Mclaughlin","360 Anna Roads Frontage road, Paradise Inn, WA 06996","Retail","lfp6bt4z","35.732198, -93.174728","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Nelson-May","5751 Graham Viaduct Frontage road, Olympia, WA 31087","Other","2y626z8b","37.60273, -76.56659","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Sims-Turner","7244 Ian Way Byway, Ocean Shores, WA 15023","Event Space","afbiskbn","46.903715, -74.38907","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Shea-Alexander","4861 Thomas Fort Backroad, North Bend, WA 32306-3151","Business","vy4wucce","39.030539, -83.831375","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Jackson-Flores","8218 Herrera Crossroad Crescent, Nordland, WA 80407","Factory","qbn8tmns","41.220896, -98.84264","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Bryant, Strong and Williams","8203 Wilson Via Route, Newport, WA 62608-5873","Retail","9h9tg4d6","38.677236, -103.195963","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Simmons Inc","8471 Patrick Locks Alley, Naches, WA 58991-1446","Other","jcuh8reh","45.751151, -92.708483","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Hall-Dudley","824 Thompson Summit Avenue, Montesano, WA 86936-7469","Event Space","2keaiwm4","42.777017, -110.850636","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Clark-Harris","4656 Kirk Dale Street, Monroe, WA 12098","Business","zh1o5rth","36.816585, -101.73157","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Figueroa, Young and Chapman","9649 Mcneil Lake Way, Mccleary, WA 36496","Factory","2syqtpl8","40.992857, -94.521432","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Martinez Ltd","8462 Sharp Ferry Frontage road, Lynden, WA 74884","Retail","8cu6drl6","43.610798, -97.006919","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
"Johnson, Mclaughlin and Young","1870 Smith Groves Frontage road, Loon Lake, WA 92896","Other","uc2bui3r","41.760268, -98.291437","555-555-5555","https://www.appsheet.com/Content/img/heroimg/desktop_screen.png"
